json_id,category,question,answer_schema
13,history,"Who was third president of United States? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
14,geography,"What is the capital of Italy? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
15,literature,"Who wrote Macbeth? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
16,math,"What is 5+5? Answer only in json with the following format: {""answer"": number}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""number""}}, ""required"": [""answer""]}"
17,science,"What is O2? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
18,history,"Who was fourth president of United States? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
19,geography,"What is the capital of Spain? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
20,literature,"Who wrote Hamlet? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
21,math,"What is 6+6? Answer only in json with the following format: {""answer"": number}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""number""}}, ""required"": [""answer""]}"
22,science,"What is P2? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
23,history,"Who was fifth president of United States? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
24,geography,"What is the capital of Portugal? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
25,literature,"Who wrote Hamlet? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
26,math,"What is 7+7? Answer only in json with the following format: {""answer"": number}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""number""}}, ""required"": [""answer""]}"
10,literature,"Who wrote Hamlet? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
11,math,"What is 4+4? Answer only in json with the following format: {""answer"": number}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""number""}}, ""required"": [""answer""]}"
12,science,"What is N2? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
13,history,"Who was third president of United States? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
14,geography,"What is the capital of Italy? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
15,literature,"Who wrote Macbeth? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
16,math,"What is 5+5? Answer only in json with the following format: {""answer"": number}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""number""}}, ""required"": [""answer""]}"
17,science,"What is O2? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
18,history,"Who was fourth president of United States? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
19,geography,"What is the capital of Spain? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
20,literature,"Who wrote Hamlet? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
21,math,"What is 6+6? Answer only in json with the following format: {""answer"": number}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""number""}}, ""required"": [""answer""]}"
22,science,"What is P2? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
23,history,"Who was fifth president of United States? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
24,geography,"What is the capital of Portugal? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
25,literature,"Who wrote Hamlet? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
26,math,"What is 7+7? Answer only in json with the following format: {""answer"": number}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""number""}}, ""required"": [""answer""]}"
10,literature,"Who wrote Hamlet? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
11,math,"What is 4+4? Answer only in json with the following format: {""answer"": number}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""number""}}, ""required"": [""answer""]}"
12,science,"What is N2? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
13,history,"Who was third president of United States? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
14,geography,"What is the capital of Italy? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
15,literature,"Who wrote Macbeth? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
16,math,"What is 5+5? Answer only in json with the following format: {""answer"": number}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""number""}}, ""required"": [""answer""]}"
17,science,"What is O2? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
18,history,"Who was fourth president of United States? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
19,geography,"What is the capital of Spain? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
20,literature,"Who wrote Hamlet? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
21,math,"What is 6+6? Answer only in json with the following format: {""answer"": number}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""number""}}, ""required"": [""answer""]}"
22,science,"What is P2? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
23,history,"Who was fifth president of United States? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
24,geography,"What is the capital of Portugal? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
25,literature,"Who wrote Hamlet? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
26,math,"What is 7+7? Answer only in json with the following format: {""answer"": number}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""number""}}, ""required"": [""answer""]}"
